ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,331,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,332,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,333,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,334,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,335,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,336,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,337-1,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,342-1,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,348-2,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-1,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-8,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-10,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-14,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-18,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-29,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-30,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-34,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-35,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-37,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-38,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-39,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-40,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-41,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-43,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-44,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,349-45,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,350,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,352,,
43364-3302-1.zip,202202091352,玉名郡玉東町大字原倉,道-8,,
